fixed,Covidence_ID,Name_data_entry,Outbreak_ID,Article_ID,Outbreak_start_day,Outbreak_start_month,Outbreak_start_year,Outbreak_end_day,Outbreak_end_month,Outbreak_date_year,Outbreak_duration_months,Asymptomatic_transmission,Outbreak_country,Outbreak_location,Cases_confirmed,Cases_mode_detection,Cases_suspected,Cases_asymptomatic,Cases_severe,Deaths,Pre-Outbreak,Ongoing,Cases_unspecified,Population_size,Male_cases,Female_cases,Prop_female_cases,Prop_male_cases,Type_cases_sex_disagg,access_outbreak_id,Outbreak_data_ID,ID,Pathogen,num_rows,matching
1,947,Anna Vicco,10,10,NA,Oct 10,2013,NA,Mar 03,2014,NA,FALSE,NA,Polynesia: Tahiti (TAH),NA,NA,21406,NA,NA,NA,NA,FALSE,NA,184000,NA,NA,NA,NA,NA,10,75072165b08cad71e26cafa83cd26f8b,4a1b4eb91bc7c144f5766c5022434ab3,Zika virus,1,0
1,947,Anna Vicco,11,10,NA,Oct 10,2013,NA,Mar 03,2014,NA,FALSE,NA,Polynesia: Tuamotus (TUA),NA,NA,1211,NA,NA,NA,NA,FALSE,NA,16000,NA,NA,NA,NA,NA,11,24b9c79a85b2d56636ad406373776dba,4a1b4eb91bc7c144f5766c5022434ab3,Zika virus,1,0
1,947,Anna Vicco,12,10,NA,Jan 01,2016,NA,Oct 10,2016,NA,FALSE,NA,West Indies: Guadelopue (GLP),NA,NA,30454,NA,NA,NA,NA,TRUE,NA,400000,NA,NA,NA,NA,NA,12,39e67cc0dc1d1d5d3d5eea2cb7275c35,4a1b4eb91bc7c144f5766c5022434ab3,Zika virus,1,0
1,947,Anna Vicco,13,10,NA,Jan 01,2016,NA,Oct 10,2016,NA,FALSE,NA,West Indies: Martinique (MTQ),NA,NA,37295,NA,NA,NA,NA,TRUE,NA,385000,NA,NA,NA,NA,NA,13,c727fe2102446faea703818abbb3ab1d,4a1b4eb91bc7c144f5766c5022434ab3,Zika virus,1,0
1,947,Anna Vicco,14,10,NA,Jan 01,2016,NA,Oct 10,2016,NA,FALSE,NA,West Indies: Saint-Martin (MAF),NA,NA,2519,NA,NA,NA,NA,TRUE,NA,36000,NA,NA,NA,NA,NA,14,e9ae97bac53355129fbbaa0daac5c0bf,4a1b4eb91bc7c144f5766c5022434ab3,Zika virus,1,0
1,1475,Christian,1,1,4,Mar 03,2016,6,Nov 11,2016,NA,FALSE,Dominica,NA,79,Molecular (PCR etc),1263,NA,27,NA,Disease-free baseline,FALSE,NA,72000,392,863,0.688,0.312,Suspected,1,4b2861b80ebe330ec2defcfeb378af20,9fe1e7f6a9e1629b2433e6a9fd203404,Zika virus,1,0
1,1496,Anna Vicco,15,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Bajo Cauca: Caceres,NA,Symptoms,45,NA,NA,NA,Unspecified,FALSE,NA,38850,NA,NA,NA,NA,Suspected,15,888a64a4d929a651c189001a7914d6d3,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,16,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Bajo Cauca: Nechi,NA,Symptoms,29,NA,NA,NA,Unspecified,FALSE,NA,27238,NA,NA,NA,NA,Suspected,16,1771c96be54d71c2229da9d5306159ed,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,17,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Bajo Cauca: Caucasia,NA,Symptoms,59,NA,NA,NA,Unspecified,FALSE,NA,114902,NA,NA,NA,NA,Suspected,17,3cf39a7de5ff7c9ce9908ff0ef0d6ce3,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
1,1496,Anna Vicco,18,4,1,Jan 01,2016,11,Apr 04,2016,NA,FALSE,Colombia,Antioquia: Bajo Cauca: Zaragoza,NA,Symptoms,49,NA,NA,NA,Unspecified,FALSE,NA,31129,NA,NA,NA,NA,Suspected,18,a05af1344bdb48dd159ef42135f31294,4373c8705f186f97e650dcd7d8576797,Zika virus,1,0
